iri,iri label,stimulus,stimulus label
EO:0007239,"micronutrient regimen",CHEBI:27027,"micronutrient"
EO:0007041,"antibiotic treatment",CHEBI:33281,"antimicrobial agent"
EO:0007167,"pesticide treatment",CHEBI:25944,"pesticide"
EO:0007165,"growth hormone treatment",CHEBI:37845,"growth hormone"
EO:0007183,"herbicide treatment",CHEBI:24527,"herbicide"
EO:0007268,"fungicide treatment",CHEBI:24127,"fungicide"
EO:0007085,"fertilizer regimen",CHEBI:33287,"fertilizer"
EO:0007074,"auxin treatment",CHEBI:22676,"auxin"
EO:0007066,"cytokinin treatment",CHEBI:23530,"cytokinin"
EO:0007632,"insecticide treatment",CHEBI:24852,"insecticide"