defined_class	defined_class label	stimulus	stimulus label
PECO:0007239	"micronutrient exposure"	CHEBI:27027	"micronutrient"
PECO:0007041	"antibiotic exposure"	CHEBI:33281	"antimicrobial agent"
PECO:0007167	"pesticide exposure"	CHEBI:25944	"pesticide"
PECO:0007165	"growth hormone exposure"	CHEBI:37845	"growth hormone"
PECO:0007183	"herbicide exposure"	CHEBI:24527	"herbicide"
PECO:0007268	"fungicide exposure"	CHEBI:24127	"fungicide"
PECO:0007085	"fertilizer exposure"	CHEBI:33287	"fertilizer"
PECO:0007074	"auxin exposure"	CHEBI:22676	"auxin"
PECO:0007066	"cytokinin exposure"	CHEBI:23530	"cytokinin"
PECO:0007632	"insecticide exposure"	CHEBI:24852	"insecticide"